comment;score negative;score neutral;score positive;score compound
The fact that his label told him to release these 3 songs 6 months ago and take maximum advantage of the situation so that he'll get More fame but Josh said no because he didn't want to fuel the fire in the drama more than it already was created by the press just shows what a good human being he is, he waited for all the negativity to go down so that ppl can listen to his story with a calm mind and that tells you how classy and mature he is!!! ;0.102;0.71;0.187;0.8638
Joshua's music is just so beautiful. He doesn't deserve all the hate. They were all young that time. They will still have a lot of people to meet in the future. too many lessons to learn so people grow up;0.079;0.814;0.107;0.3163
I'm loving this man more and more after his this album his aesthetics, his music, his voice everything is so fine.;0.0;0.752;0.248;0.7404
Maturing is realizing that you can listen to the story from both sides unbiased because they both have their own perspectives and feelings to a relationship we are not apart of. I have big respects for both him and Olivia and even Sabrina. I enjoy all of their music and being able to be honest the way they do in their songs;0.016;0.854;0.13;0.8271
The lyrics are so good. I'm impressed by your songwriting. You became to be my fav artist.;0.0;0.581;0.419;0.878
I’m so happy he got to put his part of the story out there. He really doesn’t deserve all the hate he gets! He has my support and love 100%  proud of you Joshua;0.079;0.617;0.304;0.8906
Ahhh so good! Me and my brother are your biggest fans!  Your voice, these lyrics and your evolution, WOW! Hope to have the chance to sing with you one day! ;0.0;0.653;0.347;0.9299
We can never know the real story behind all this but all i know is they truly loved each other;0.0;0.662;0.338;0.8807
Man ! How did I never heard this guys song , it's so good !;0.0;0.764;0.236;0.6514
This song is so good I’m shook;0.16;0.481;0.36;0.4727
Wow, this song is so touching, and him donating to mental health organisations is just amazing! ;0.0;0.64;0.36;0.8356
He's lyrics are all genuine and true, he's talent is still definitely underrated.;0.0;0.546;0.454;0.8074
This is they best song ever I feel so bad that he had to go and deal with all that stuff imagine you wake up with a bunch of ppl wishing on you ton of bad to the point  of death threats he deserves so much praise and love for his amazing music;0.192;0.574;0.234;0.5085
This is so direct, my god i love it;0.0;0.516;0.484;0.7624
“My momma called ‘cause she heard i got death threats” - again mentioning his mom ️. Love this man;0.155;0.677;0.167;0.0772
So brave to put this out and talk about these issues. Good job, man;0.0;0.645;0.355;0.7645
I made my friends listen to this they didn’t like his music but I showed them the music they literally love this we always listen to this now this is one of our favorite artist this is gonna be a hit great job this is amazing;0.0;0.621;0.379;0.9787
I am seriously so sorry and hurt that two amazingly talented people put their talent on such songs and exploiting this situation more than it needs to be. Dare I say I find it very childish… but if I ever were to pick a side, this is the one. I hope both Joshua and Olivia begin healing soon <3;0.1;0.73;0.17;0.7842
his voice is so beautiful;0.0;0.445;0.555;0.7177
This song is just so chill and soft. I really love it and can't stop hearing it;0.0;0.702;0.298;0.7492
now that the drama's over, it's sickening how the media made everything worse. I hope Joshua, Sabrina and Olivia are all ok and following their dreams without the need to rely on rumors about their love lives. remember: olivia was just 17 when driver's license came out.;0.109;0.689;0.202;0.6705
"It's 7 am here in germany and i just found this song. OMG i am so in love with it. 100% True words. The ""mama"" part hit me the most  thank u for being so honest and that u donate this to mental health orgs. Keep going josh ";0.0;0.755;0.245;0.9362
He reminds me of Shawn mendes but so much more heartfelt and amazing. Love it so much. ;0.0;0.452;0.548;0.9637
I hope Josh is proud of this song, because it’s a masterpiece. Keep doing good work️;0.0;0.48;0.52;0.9186
AT THIS POINT I WANT TO TELL TO JOSHUA BASSETT FACE-TO-FACE HOW GOOD HE IS FOR WRITING SUCH A MASTERPIECE.;0.0;0.672;0.328;0.8074
Best response to Drivers License ever. Finally he is telling us his side of the story and he has the right to do it. I love it.;0.0;0.749;0.251;0.8555
He gives me Harry Styles vibes and I’m in love with it!!️️;0.0;0.697;0.303;0.6988
his maturity is quite commendable and the song is great as  well!;0.0;0.606;0.394;0.7574
This song is so emotional and beautiful;0.0;0.443;0.557;0.7415
Lots of love to you Joshua, wish you get through this and remember that we love you️;0.0;0.558;0.442;0.9022
Literally the best song I've heard in a while! Love you J ;0.0;0.535;0.465;0.8655
Transformar sentimento em arte, melhor coisa pra se expressar!!! ;0.0;0.679;0.321;0.5826
Stop talking about the drama.we don't know what is the true story and we don't have to know about their personal life.just enjoy their songs without taking anyone's sides.they are all talented and i love them both;0.046;0.671;0.283;0.9062
the most meaningful line is “don’t you dare think I didn’t love u, don’t u go saying I didn’t hurt too” it’s so sweet;0.1;0.587;0.313;0.8052
"The first time I heard this song I was in tears. And now I know who and what it is about it makes me cry even more. Mutch love to u 
Also I have had issues with mental health and him donating it to an organisation for that make me love him even more";0.079;0.785;0.136;0.6887
"For anyone who wants to play this on guitar, here's how :)

- Standard Tuning - No Capo -";0.093;0.678;0.229;0.4939
this is maturity people!! king wrote a song, didn't tear anyone down, and did it with amazing talent! i love joshua so much, and i feel so awful that such an amazing person had to go through all of this shit just because some people don't know how to act;0.12;0.651;0.229;0.8105
You've got my support Josh 100%;0.0;0.649;0.351;0.4019
This song is a beautiful masterpiece.;0.0;0.333;0.667;0.8402
I can relate so much to this song it’s very good;0.0;0.758;0.242;0.4927
I keep coming back to your music  please continue I love your talent fr . I'm spreading your name at my job and telling coworkers smh ️;0.066;0.665;0.269;0.7906
Wow ‘ don’t go acting like I didn’t love you’ and the rest of the chorus just is amazing;0.0;0.512;0.488;0.936
joshua your music is so so good omggg so proud;0.0;0.517;0.483;0.8167
I just want to hug him. In this music video, there’s one point you can tell he’s broken;0.138;0.667;0.196;0.0772
Loveeeee this but I think people have it confused, Olivia didn’t write that song as a career move. She wrote it to be raw and show her true self. She didn’t want to hid anything and really connect to people. Music now a days is missing that, now you and Sabrina have amazing raw songs! And we love them all!;0.095;0.688;0.217;0.9078
So much respect ;0.0;0.372;0.628;0.5233
I love Olivia’s songs but Joshua’s are just… chefs kiss I mean amazing and the lyrics bring out so much truth. There are two sides rn and I was on Olivia’s but now hearing Joshua’s songs and realizing there was more than what Olivia said makes me lean more towards Joshua’s side.;0.0;0.764;0.236;0.942
I honestly love his voice and song there so amazing and so emotional;0.0;0.392;0.608;0.932
"""My label said to never waist a crisis, and here I am,  guitar in my hand"" all it took was that first line to see how raw and honest this guy is. Amazing";0.0;0.681;0.319;0.9273
Joshua: why do you have to BREAK my heart, you are so freaking talented;0.161;0.491;0.347;0.6324
This song is so beautiful, I'm so sorry for what you went through. I just saw you on Zach & I had no clue that one song was about you.;0.106;0.755;0.139;0.4936
Joshua has such a talent for writing and singing;0.0;0.741;0.259;0.4215
olivia’s songs are well written and a lot of fun, but they came at a price and she didn’t take two seconds to try and calm her fans down. i’m with joshua on this one;0.0;0.828;0.172;0.6858
His maturity, his benevolence, his empathy. . . ;0.0;0.722;0.278;0.4019
I would like to point out how mature he went about this song. He didn’t dis anyone, instead he told his side respectfully.;0.0;0.714;0.286;0.7906
I respect him so much as an artist and person in general. He handled this whole thing in such a mature, kind, and selfless way. Just what a genuinely good human being he is. Plus his music is always really good quality you can tell that he is thorough and makes sure that what he puts out is his very best work. Much love ️;0.0;0.684;0.316;0.9785
I feel so bad for josh, but these lyrics are so true, he really put thought into the song;0.111;0.689;0.2;0.4903
The lyrics are heart touching . I'm crying;0.233;0.451;0.316;0.2732
“Was it an act to love me or an act to hate me” ;0.196;0.582;0.222;0.128
This is a really good song, and he has such a nice voice. Really appreciate how he is donating to mental health organizations too!;0.0;0.694;0.306;0.8511
I wish he knew that I'm gonna support him through the situation ;0.0;0.649;0.351;0.6597
This song is amazing, i can listen to this over and over again;0.0;0.759;0.241;0.5859
The actual fact that he made a music video for all of the songs he wrote on this albam  he’s amazing;0.0;0.84;0.16;0.5859
Love you Joshua....just want you to know you are seen and heard....praying for you;0.0;0.686;0.314;0.6705
If you get to tell your truth then so do I…;0.0;0.813;0.187;0.3182
He’s talented and I hope he sees the end of the drama and a bright career;0.0;0.588;0.412;0.8442
Love this performance bless your talent !;0.0;0.284;0.716;0.8777
love this song soo much;0.0;0.488;0.512;0.6369
Brooklyn song was the inspiration, because it is truly a crisis. great song;0.174;0.383;0.443;0.743
your amazing young man. to face everything bad in your life and confront it, shows strength and great courage! dont give up because you have so to live for!;0.121;0.534;0.345;0.893
Cannot get this out of my head. Stunning ;0.0;0.729;0.271;0.3818
I’m so proud of him for finally being able to put out music he loves again. It’s been a rough year and we love u sm josh, thank you for sharing your incredible talent and projects with us <3 STREAM CRISIS/SECRET/SET ME FREE BABYYY;0.0;0.575;0.425;0.979
So proud of him, what a song, masterpiece.;0.0;0.445;0.555;0.8173
I love this song sooooo much!;0.0;0.527;0.473;0.6696
As an Olivia Rodrigo fan I can still appreciate how good this is and sympathize with Joshua. I mean the guy received death threats. That's disgusting. I really don't take sides in this argument. I really wish the best for both parties and I'm glad things have gotten better.;0.175;0.5;0.324;0.8745
"drama aside, this is a catchy song. i am genuinely impressed with the lyrics. SO excited to follow his journey!!!! 
not taking sides, i love them all, but i really hope that the experiences of this past year wont hurt his career. he deserves the good things coming his way!!!";0.0;0.686;0.314;0.9645
I like how honest he is in this song.;0.0;0.547;0.453;0.7003
Josh, you are such an amazing songwriter and singer. Keep doing what you're doing!;0.0;0.761;0.239;0.6239
I’m in love with this song;0.0;0.543;0.457;0.6369
Gosh, this song cut deep! I always thought Olivia was the victim, but like thy say, there are always 2 sides. Really this song shows that guys aren’t always the villains. I mean girls can always be the ones breaking someone’s heart.;0.171;0.666;0.163;0.2828
I'm glad he made this it puts his side of the story out he needed to do it and he did;0.0;0.87;0.13;0.4588
“my momma called cause she heard I got death threats” “don’t you dare act like I didn’t like love you” “don’t go thinking I didn’t hurt too” wow these lyrics hit home this is incredible Josh;0.145;0.596;0.258;0.6908
I appreciate this song for his own mental health with his reputation being disowned;0.0;0.828;0.172;0.4019
I love this melody sm ;0.0;0.488;0.512;0.6369
This song is the best Joshua ️‍;0.0;0.588;0.412;0.6369
"At Josh: teenage love is always a little sticky ️ 
And teenage break ups are always a mess 

Beautiful song bro";0.087;0.629;0.283;0.765
Absolutely love this;0.0;0.308;0.692;0.6697
Was it an act to love me, or an act to hate me? Ugh so good.;0.246;0.454;0.3;0.3488
i love them both olivia and joshua are perfect together.. that's how rock and roll works.. both are gorgeous and super talented.. keep making musics for our shit..;0.081;0.492;0.427;0.9477
This song is my absolute fav one;0.0;0.667;0.333;0.4588
Cant stop listen this song;0.0;0.679;0.321;0.2235
As a massive Olivia Rodrigo fan, I’m so glad Joshua Bassett released this to tell his side of the story ;0.0;0.763;0.237;0.6801
What a song !!!!! Wow I’m amazing this has been on repeat for me for 4 days straight already ;0.0;0.6;0.4;0.8926
Admire his strength to come back after the hell he's been through.;0.231;0.452;0.317;0.1779
IF U GET TO TELL UR TRUTH THEN SO DO I ;0.0;0.813;0.187;0.3182
This is such a wonderful song. LOve ThiS!;0.0;0.423;0.577;0.8478
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, hmm
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
I love Olivia’s music and Josh’ but I’m not on either side. No one knows the actual story. I’m not choosing a side if I don’t even know what actually happened. I just hope they can both get through this. But dang their music is amazing ️️;0.049;0.748;0.203;0.8705
Love the song, the emotion is so clear! I dislike how people keep choosing sides when really it is none of our business and never will be. I hate how I can choose a side from not knowing the full story.;0.128;0.72;0.153;0.317
"Oh bless his heart. Still love Olivia’s songs, but death threats over songs towards him? Bless him, that’s so uncalled for. I saw in the description he’s donating the money off this video to mental health organisations and that is such a beautiful thing to hear. 
Go on josh. I’m not picking sides, it’s nothing to do with us, but to turn something so vulnerable and personal into a Beautiful song is amazing x";0.119;0.621;0.259;0.9373
The authenticity and realness of the lyrics makes this song amazing;0.0;0.725;0.275;0.5859
Is it just me or is Joshua’s style always on point? He always looks and sound so good ️;0.0;0.828;0.172;0.5777
“Messing my life as a career move” is SO powerful like holy crap. We are here for you Josh! ;0.097;0.595;0.309;0.7717
"Despite not knowing who Olivia's ex was or what he had done to her, I had always felt sorry for him. Olivia's songs were way too violent and bitter. Joshua's song on the other hand is way more nuanced. You can feel different emotions in the lyrics, sometimes even contradicting each other; like recalling his love for Olivia while at the same time expressing his disappointment with her. Yet there is no aggression whatsoever directed at her. The music is very calm, which contrasts with Olivia's aggressive pop-rock songs (good4u, F**ck you)... kind of like the calm after the storm. The clip is amazing, not a lot of things going on, the focus is on him and his emotions. He isn't putting on a lavish show to get attention. This was a song which truly came from the heart and Joshua comes off as a very honest, talented and kind individual. I don't think a ""damn sociopath"" would've been able to write such a mesmerizing song. I wonder if all his other songs are like this...";0.071;0.72;0.21;0.9833
He's such an angel. When he's singing about this he also goes and donates 100% of his earnings to mental health organizations. I wish I could be this amazing. Love you;0.0;0.711;0.289;0.9081
Will there be a behind the scenes of this music video? I'd love to see it;0.0;0.781;0.219;0.6369
I didn’t even know him before all the songs came out about him and I feel like everyone was talking about it…I don’t even care that much about celebrities but their marketing strategy (if there was one ofc there was one right ?) definitely worked. I just wish there would’ve been a disclaimer somewhere that could have calmed the drama that these songs started…but I guess that was done on purpose and that leaves a bad taste in my mouth as a listener and doesn’t make me want to support the artist if they disrespect an ex they claimed to love. No one deserves this ! Beautiful song ;0.081;0.695;0.223;0.9615
Idk if u agree, but I think that both Olivia and him (if this was abt each other) were  expressing themselves, it’s fans the ones who decided to create such a big drama. And yes Olivia didn’t stop them, but I think that she has become mature now. And Joshua did such an amazing job with this song <33;0.055;0.714;0.231;0.9306
all of his songs are so brilliantly written, i can't quite explain how much depth he adds to them. so freaking good;0.117;0.615;0.268;0.6887
just saying, we love you Josh ;0.0;0.543;0.457;0.6369
Such a good song;0.0;0.508;0.492;0.4404
People should not write mean things about Joshua just Because they’re on Olivias side. Joshua has the right to tell his feelings aswell! Love you Joshua ️;0.0;0.853;0.147;0.6696
Being able to open your mouth and speak your truth or able to sit down and write about it IS something powerful because it helps YOU in the end. I’m very proud of Joshua for writing how he feels down. And also donating the proceeds to mental health ️;0.0;0.802;0.198;0.8777
This song is so good;0.0;0.517;0.483;0.5777
I'm literally in love with your singing voice!;0.0;0.609;0.391;0.6696
Such a beautiful song and video. Feel so much for him;0.0;0.719;0.281;0.5994
Highlight of my day!!!! More power to you!!!;0.0;0.662;0.338;0.5526
2:19 to 2:30 now that's a strong line;0.0;0.68;0.32;0.5106
honestly, I just wanna see josh smile again.;0.0;0.522;0.478;0.6705
Guess you would never dare, you would never dare to waste a crisis ️ my favorite part;0.175;0.597;0.228;0.0598
He is so underrated  Love his voice, melody, sweetness and aestethic.;0.0;0.54;0.46;0.8261
this song is so pretty... how am i only discovering this now?!?! <3;0.0;0.58;0.42;0.8385
"I'm so glad he shared these 3 new songs, ""if you get to tell your truth then so do I""";0.0;0.673;0.327;0.8051
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, mmh
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, mmh
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, mmh
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
I LOVE THIS SONG SO MUCHHH!!!;0.0;0.496;0.504;0.7249
i hope you are feeling better, this song is so good the lyrics are amazing !;0.0;0.421;0.579;0.9341
This song is beautiful. The colour of his suit gives him an innocent appeal. He is an amazing artist, love him.;0.0;0.543;0.457;0.936
this is so beautiful, im sobbing;0.242;0.337;0.421;0.4815
 Love it with all of my heart!;0.0;0.365;0.635;0.8655
Why am I just now hearing this song lol such a good song with the lyrics and the meaning ! ;0.0;0.75;0.25;0.7177
I love Olivia’s songs but after hearing this song I’m getting all the feels I never got from her.;0.0;0.874;0.126;0.3818
This actually made me cry alittle.. like the line talking about his mom. the song overall.. I can't it breaks me because we all know he hurt so much. I don't know him but he seems like a down to earth person just an amazing human being.  I can't wait to see what he releases next. I love u josh.;0.057;0.727;0.215;0.9294
this song really got me crying Joshua deserves the biggest apology i love you Joshua and don't listen to what anyone says;0.121;0.684;0.194;0.2585
"All 3 of them deserve love, none of them deserve hate. It's just 3 sides of a story. How they all feel. And even then, we don't even know if its actually about their relationship (which was never even confirmed)
I'm a huge fan of all 3 of them, they are all amazing people. They're kind. They're loving. They are all beautiful and talented, and we should recognize that";0.041;0.661;0.298;0.9732
this song is so good;0.0;0.517;0.483;0.5777
This is my favorite song of the year.;0.0;0.7;0.3;0.4588
josh, you have more love and support than you do hate  remember that.  this song is going on repeat.;0.136;0.589;0.275;0.5799
Wow that hits so hard. I feel so sorry for him, he didn't deserve the hate he got, he's been through so much this year and I hope things get better for him. He has my support 100%.;0.072;0.621;0.307;0.9134
I'm just a big fan of these 2 side stories, enjoy listening their masterpieces;0.0;0.55;0.45;0.8402
Josh, you nailed it again!!!  Three incredible songs... love them all!  I've been listening to them over and over again. You're a very talented guy! The lyrics as well as the musical composition of these three songs are just outstanding! Congrats!  ️ Wish you all the best. ;0.0;0.609;0.391;0.9791
amo o quanto você é expressivo, espero que fique tudo bem! Você merece todo amor do mundo. 🇧🇷;0.0;0.426;0.574;0.9098
“Messing with my life as a career move” damn I love him, I’ve never doubted you Josh;0.119;0.616;0.265;0.5129
after so many months I'm just realizing how good this song is.;0.0;0.791;0.209;0.4404
I'm in love with this song ;0.0;0.543;0.457;0.6369
I'm so proud of you for telling ur truth and what u had to go thro during ur hard times. Plz keep going and show who you really are and not what others see u. It's not no one's business but yours. Again I'm so proud of you and love you;0.019;0.699;0.282;0.9479
"LYRICS :

my label said to never waste a crisis
and here i am, guitar in my hand, in the middle of one, mmh";0.0;0.704;0.296;0.8328
His songs were all directed towards the situation but still respectful at the same time. Genius;0.0;0.789;0.211;0.6124
I love Joshua and keep up the amazing  WORK !;0.0;0.491;0.509;0.8516
There ain't  a time I open this app and don't play this since the day I've heard it. I wouldn't lie. I did listen to Olivia a lot and I love her songs. But Joshua, you got my respect lad. And you got yourself a new fan. Hope you're doing better now. ;0.023;0.709;0.268;0.9508
Such a beautiful song, I hope you have a great day! Keep on creating beautiful songs;0.0;0.389;0.611;0.9538
Blessed you Joshua, continue to make songs and donate the earnings in different organizations.;0.0;0.769;0.231;0.5994
"""due to the nature of pop culture, and the current public perspective, there will be a lot of loud voices in this next chapter- positive, negative and everywhere in between. all that i ask is you treat everyone with respect and love
anyone who sends hate on my behalf is no fan of mine""
- Joshua Bassett ";0.128;0.685;0.186;0.6414
This is one of my new fav songs now;0.0;0.727;0.273;0.4588
The visuals are beautiful, you picked some beautiful and deep locations to film all three music videos, best friend, especially for Crisis and Set Me Free, love you ️️;0.089;0.448;0.463;0.9602
I love the song, the feelings and how mature he is !;0.0;0.578;0.422;0.807
